"CA Name"	"Root Certificate"	"SHA-1 Thumbprint"	"SHA-256 Thumbprint"
"Buypass"	"Buypass Class 2 Root CA"	"49:0A:75:74:DE:87:0A:47:FE:58:EE:F6:C7:6B:EB:C6:0B:12:40:99"	"9A:11:40:25:19:7C:5B:B9:5D:94:E6:3D:55:CD:43:79:08:47:B6:46:B2:3C:DF:11:AD:A4:A0:0E:FF:15:FB:48"
"Buypass"	"Buypass Class 3 Root CA"	"DA:FA:F7:FA:66:84:EC:06:8F:14:50:BD:C7:C2:81:A5:BC:A9:64:57"	"ED:F7:EB:BC:A2:7A:2A:38:4D:38:7B:7D:40:10:C6:66:E2:ED:B4:84:3E:4C:29:B4:AE:1D:5B:93:32:E6:B2:4D"
"Byte Computer S.A."	"BYTE Root Certification Authority 001"	"3F:0F:EB:17:A7:EF:58:04:CF:D9:0A:77:B7:BB:02:1E:A6:9C:64:18"	
"CA Disig a.s."	"CA Disig Root R1"	"8E:1C:74:F8:A6:20:B9:E5:8A:F4:61:FA:EC:2B:47:56:51:1A:52:C6"	"F9:6F:23:F4:C3:E7:9C:07:7A:46:98:8D:5A:F5:90:06:76:A0:F0:39:CB:64:5D:D1:75:49:B2:16:C8:24:40:CE"
"CA Disig a.s."	"CA Disig Root R2"	"B5:61:EB:EA:A4:DE:E4:25:4B:69:1A:98:A5:57:47:C2:34:C7:D9:71"	"E2:3D:4A:03:6D:7B:70:E9:F5:95:B1:42:20:79:D2:B9:1E:DF:BB:1F:B6:51:A0:63:3E:AA:8A:9D:C5:F8:07:03"
"Carillon Information Security Inc."		"A6:9E:03:36:C4:E5:90:23:FF:65:3C:71:F9:28:EB:73:F2:1C:00:F0"	"12:FF:24:83:72:BD:87:E4:4E:CE:43:21:98:BE:9B:04:52:5F:33:DE:E0:03:56:FD:64:6F:8A:CC:01:41:2F:86"
"Certicámara S.A."	"AC Raíz Certicámara S.A."	"CB:A1:C5:F8:B0:E3:5E:B8:B9:45:12:D3:F9:34:A2:E9:06:10:D3:36"	"A6:C5:1E:0D:A5:CA:0A:93:09:D2:E4:C0:E4:0C:2A:F9:10:7A:AE:82:03:85:7F:E1:98:E3:E7:69:E3:43:08:5C"
"Certicámara S.A."	"AC Raíz Certicámara S.A."	"54:63:28:3B:67:93:FF:55:27:7C:ED:E3:90:98:E8:04:22:F9:12:F7"	"D2:A9:0E:5D:35:CA:C4:D4:1F:7D:44:CE:66:AF:F8:85:E1:81:5F:B3:39:18:58:53:A8:7E:66:C0:5C:9B:EF:1E"
"Certinomis"	"Certinomis - Autorité Racine"	"2E:14:DA:EC:28:F0:FA:1E:8E:38:9A:4E:AB:EB:26:C0:0A:D3:83:C3"	"FC:BF:E2:88:62:06:F7:2B:27:59:3C:8B:07:02:97:E1:2D:76:9E:D1:0E:D7:93:07:05:A8:09:8E:FF:C1:4D:17"
"Certinomis"	"Certinomis - Root CA"	"9D:70:BB:01:A5:A4:A0:18:11:2E:F7:1C:01:B9:32:C5:34:E7:88:A8"	"2A:99:F5:BC:11:74:B7:3C:BB:1D:62:08:84:E0:1C:34:E5:1C:CB:39:78:DA:12:5F:0E:33:26:88:83:BF:41:58"
"certSIGN"	"certSIGN ROOT CA"	"FA:B7:EE:36:97:26:62:FB:2D:B0:2A:F6:BF:03:FD:E8:7C:4B:2F:9B"	"EA:A9:62:C4:FA:4A:6B:AF:EB:E4:15:19:6D:35:1C:CD:88:8D:4F:53:F3:FA:8A:E6:D7:C4:66:A9:4E:60:42:BB"
"China Financial Certification Authority (CFCA)"	"CFCA EV ROOT"	"E2:B8:29:4B:55:84:AB:6B:58:C2:90:46:6C:AC:3F:B8:39:8F:84:83"	"5C:C3:D7:8E:4E:1D:5E:45:54:7A:04:E6:87:3E:64:F9:0C:F9:53:6D:1C:CC:2E:F8:00:F3:55:C4:C5:FD:70:FD"
"China Financial Certification Authority (CFCA)"	"CFCA Identity CA"	"F0:2B:70:BD:E4:EA:E0:2B:20:73:77:B9:FD:47:85:E4:C9:CC:55:DC"	"FF:B8:5C:26:30:8A:96:13:51:24:9E:A6:41:F6:59:D4:9F:63:9E:91:DA:ED:9C:92:D0:46:CC:DC:EC:C9:3D:2F"
"China Financial Certification Authority (CFCA)"	"China Financial CA"	"EA:BD:A2:40:44:0A:BB:D6:94:93:0A:01:D0:97:64:C6:C2:D7:79:66"	"07:71:92:0C:8C:B8:74:D5:C5:A4:DC:0D:6A:51:A2:D4:95:D3:8C:4D:E2:CD:5B:83:D2:A0:6F:AA:05:19:35:F6"
"China Internet Network Information Center (CNNIC)"	"China Internet Network Information Center EV Certificates Root"	"4F:99:AA:93:FB:2B:D1:37:26:A1:99:4A:CE:7F:F0:05:F2:93:5D:1E"	"1C:01:C6:F4:DB:B2:FE:FC:22:55:8B:2B:CA:32:56:3F:49:84:4A:CF:C3:2B:7B:E4:B0:FF:59:9F:9E:8C:7A:F7"
"China Internet Network Information Center (CNNIC)"	"CNNIC ROOT"	"8B:AF:4C:9B:1D:F0:2A:92:F7:DA:12:8E:B9:1B:AC:F4:98:60:4B:6F"	"E2:83:93:77:3D:A8:45:A6:79:F2:08:0C:C7:FB:44:A3:B7:A1:C3:79:2C:B7:EB:77:29:FD:CB:6A:8D:99:AE:A7"
"Chunghwa Telecom Corporation"	"Chunghwa Telecom Co. Ltd."	"67:65:0D:F1:7E:8E:7E:5B:82:40:A4:F4:56:4B:CF:E2:3D:69:C6:F0"	"C0:A6:F4:DC:63:A2:4B:FD:CF:54:EF:2A:6A:08:2A:0A:72:DE:35:80:3E:2F:F5:FF:52:7A:E5:D8:72:06:DF:D5"
"Chunghwa Telecom Corporation"		"D9:9B:10:42:98:59:47:63:F0:B9:A9:27:B7:92:69:CB:47:DD:15:8B"	"1E:51:94:2B:84:FD:46:7B:F7:7D:1C:89:DA:24:1C:04:25:4D:C8:F3:EF:4C:22:45:1F:E7:A8:99:78:BD:CD:4F"
"Cisco"	"Cisco Systems"	"DE:99:0C:ED:99:E0:43:1F:60:ED:C3:93:7E:7C:D5:BF:0E:D9:E5:FA"	"83:27:BC:8C:9D:69:94:7B:3D:E3:C2:75:11:53:72:67:F5:9C:21:B9:FA:7B:61:3F:AF:BC:CD:53:B7:02:40:00"
"Cisco"	"RXC-R2"	"2C:8A:FF:CE:96:64:30:BA:04:C0:4F:81:DD:4B:49:C7:1B:5B:81:A0"	"22:9C:CC:19:6D:32:C9:84:21:CC:11:9E:78:48:6E:EB:EF:60:3A:EC:D5:25:C6:B8:8B:47:AB:B7:40:69:2B:96"
"Collegio de Registradores Mercantile (Spanish Property & Commerce Registry)"	"Colegio de Registradores Mercantiles"	"21:11:65:CA:37:9F:BB:5E:D8:01:E3:1C:43:0A:62:AA:C1:09:BC:B4"	"7D:2B:F3:48:9E:BC:9A:D3:44:8B:8B:08:27:71:5A:3C:BF:E3:D5:23:E3:B5:6A:9B:5F:C1:D2:A2:DA:2F:20:FE"
